lang,data_status,trait_clean,raw_contrasts,recommended_status,strict_status,flag,adaptation_note
ga,dropped_quality,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
ga,dropped_quality,Usage of Articles,With articles / Less frequent articles,direct,direct,,
ga,dropped_quality,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
ga,dropped_quality,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
ga,dropped_quality,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
ga,dropped_quality,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
ga,dropped_quality,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
ga,dropped_quality,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
ga,dropped_quality,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
ga,dropped_quality,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
ga,dropped_quality,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
ga,dropped_quality,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
ga,dropped_quality,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
ga,dropped_quality,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
ga,dropped_quality,Usage of Formal Tone,Formal / Informal,direct,direct,,
ga,dropped_quality,Complex Sentence Structure,Complex / Simple,direct,direct,,
ga,dropped_quality,Usage of Contractions,With contractions / Without contractions,direct,direct,,
ga,dropped_quality,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
ga,dropped_quality,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
ga,dropped_quality,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
ga,dropped_quality,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
ga,dropped_quality,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
ga,dropped_quality,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
gl,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
gl,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
gl,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
gl,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
gl,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
gl,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
gl,kept,Usage of Active Voice,Active / Passive,direct,direct,,
gl,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
gl,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
gl,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
gl,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
gl,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
gl,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
gl,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
gl,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
gl,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
gl,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
gl,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
gl,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
gl,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
gl,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
gl,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
gl,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
gl,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
gl,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
gl,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
gl,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
gl,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
gl,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
gl,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
gl,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
gl,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
gl,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
gl,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
gl,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
gl,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
gl,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
gl,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
gu,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
gu,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
gu,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
gu,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
gu,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
gu,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
gu,kept,Usage of Active Voice,Active / Passive,direct,direct,,
gu,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
gu,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
gu,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
gu,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
gu,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
gu,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
gu,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
gu,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
gu,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
gu,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
gu,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
gu,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
gu,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
gu,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
gu,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,adapt,drop,PREP_ADAPT,"Adapt preposition frequency to adpositions, postpositions, case suffixes, or case particles used for the same grammatical relations."
gu,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
gu,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
gu,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
gu,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
gu,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
gu,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
gu,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
gu,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
gu,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
gu,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
gu,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,drop,drop,NUMSUB_DROP,Drop numerical substitution because a robust local digit-substitution convention was not assumed for this pass.
gu,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
gu,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
gu,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
gu,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
gu,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
hbs,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
hbs,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
hbs,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
hbs,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
hbs,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
hbs,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
hbs,kept,Usage of Active Voice,Active / Passive,direct,direct,,
hbs,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
hbs,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
hbs,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
hbs,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
hbs,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
hbs,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
hbs,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
hbs,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
hbs,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
hbs,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
hbs,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
hbs,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
hbs,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
hbs,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
hbs,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
hbs,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
hbs,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
hbs,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
hbs,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
hbs,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
hbs,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
hbs,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
hbs,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
hbs,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
hbs,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
hbs,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
hbs,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
hbs,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
hbs,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
hbs,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
hbs,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
he,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
he,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
he,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
he,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
he,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
he,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
he,kept,Usage of Active Voice,Active / Passive,direct,direct,,
he,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
he,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
he,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
he,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
he,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
he,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
he,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
he,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
he,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
he,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
he,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
he,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
he,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
he,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
he,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
he,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
he,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
he,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
he,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
he,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
he,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
he,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
he,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
he,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
he,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
he,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,drop,drop,NUMSUB_DROP,Drop numerical substitution because a robust local digit-substitution convention was not assumed for this pass.
he,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
he,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
he,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
he,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
he,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
hi,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
hi,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
hi,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
hi,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
hi,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
hi,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
hi,kept,Usage of Active Voice,Active / Passive,direct,direct,,
hi,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
hi,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
hi,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
hi,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
hi,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
hi,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
hi,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
hi,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
hi,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
hi,kept,Usage of Articles,With articles / Less frequent articles,drop,drop,ART_DROP,Drop article contrast because the language lacks a stable article category comparable to English a/an/the.
hi,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
hi,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
hi,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
hi,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
hi,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,adapt,drop,PREP_ADAPT,"Adapt preposition frequency to adpositions, postpositions, case suffixes, or case particles used for the same grammatical relations."
hi,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
hi,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
hi,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
hi,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
hi,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
hi,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
hi,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
hi,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
hi,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
hi,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
hi,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,drop,drop,NUMSUB_DROP,Drop numerical substitution because a robust local digit-substitution convention was not assumed for this pass.
hi,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
hi,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,drop,drop,CASE_DROP,Drop casing contrast for uncased scripts or scripts where uppercase/lowercase is not a native style dimension.
hi,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
hi,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
hi,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
hu,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
hu,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
hu,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
hu,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
hu,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
hu,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
hu,kept,Usage of Active Voice,Active / Passive,direct,direct,,
hu,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
hu,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
hu,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
hu,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
hu,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
hu,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
hu,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
hu,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
hu,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
hu,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
hu,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
hu,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
hu,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
hu,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
hu,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,adapt,drop,PREP_ADAPT,Use Hungarian case suffixes and postpositions rather than English-like prepositions.
hu,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
hu,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
hu,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
hu,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
hu,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
hu,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
hu,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
hu,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
hu,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
hu,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
hu,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,direct,direct,,
hu,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
hu,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
hu,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
hu,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
hu,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
hy,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
hy,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
hy,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
hy,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
hy,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
hy,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
hy,kept,Usage of Active Voice,Active / Passive,direct,direct,,
hy,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
hy,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
hy,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
hy,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
hy,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
hy,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
hy,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
hy,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
hy,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
hy,kept,Usage of Articles,With articles / Less frequent articles,direct,direct,,
hy,kept,Fluency in Sentence Construction,Fluent sentence / Disfluent sentence,direct,direct,,
hy,kept,Frequent Usage of Function Words,With function words / Less frequent function words,direct,direct,,
hy,kept,Frequent Usage of Common Verbs,With common verbs / Less frequent common verbs,direct,direct,,
hy,kept,Usage of Pronouns,With pronouns / Less frequent pronouns,direct,direct,,
hy,kept,Usage of Prepositions,With prepositions / Less frequent prepositions,direct,direct,,
hy,kept,Frequent Usage of Determiners,With determiners / Less frequent determiners,direct,direct,,
hy,kept,Usage of Conjunctions,With conjunctions / Less frequent conjunctions,direct,direct,,
hy,kept,Usage of Nominalizations,With nominalizations / Without nominalizations,direct,direct,,
hy,kept,Usage of Long Words,Long average word length / Short average word length,direct,direct,,
hy,kept,Usage of Numerical Digits,With digits / Less frequent digits,direct,direct,,
hy,kept,Usage of Uppercase Letters,With uppercase letters / Without uppercase letters,direct,direct,,
hy,kept,Frequent Usage of Punctuation,With frequent punctuation / Less Frequent punctuation,direct,direct,,
hy,kept,Usage of Formal Tone,Formal / Informal,direct,direct,,
hy,kept,Complex Sentence Structure,Complex / Simple,direct,direct,,
hy,kept,Usage of Contractions,With contractions / Without contractions,direct,direct,,
hy,kept,Usage of Numerical Substitution (ex. hello -> h3llo type slang),With number substitution / Without number substitution,drop,drop,NUMSUB_DROP,Drop numerical substitution because a robust local digit-substitution convention was not assumed for this pass.
hy,kept,Usage of Only Lowercase Letters (all lowercase style),All Lower Case / Proper Capitalization,direct,direct,,
hy,kept,Usage of Only Uppercase Letters (all uppercase style),All Upper Case / Proper Capitalization,direct,direct,,
hy,kept,Presence of Misspelled Words,Sentence With a Few Misspelled Words / Normal Sentence,direct,direct,,
hy,kept,Usage of Text Emojis (ex. :-D type emoticons),Text Emojis / No Emojis,direct,direct,,
hy,kept,Usage of Emojis,With Emojis / No Emojis,direct,direct,,
id,kept,Usage of Polite Tone,Polite / Impolite,direct,direct,,
id,kept,Incorporation of Humor,With Humor / Without Humor,direct,direct,,
id,kept,Usage of Sarcasm,With sarcasm / Without sarcasm,direct,direct,,
id,kept,Usage of Metaphors,With metaphor / Without metaphor,direct,direct,,
id,kept,Usage of Offensive Language,Offensive / Non-Offensive,direct,direct,,
id,kept,Positive Sentiment Expression,Positive / Negative,direct,direct,,
id,kept,Usage of Active Voice,Active / Passive,direct,direct,,
id,kept,"Usage of Certain Tone (lack of uncertain words/phrases like 'I think', 'might', 'seems')",Certain / Uncertain,direct,direct,,
id,kept,Usage of Self-Focused Perspective or Words,Self-focused / Inclusive-focused | Self-focused / You-focused | Self-focused / Third-person singular,direct,direct,,
id,kept,Usage of Self-Focused Language,Self-focused / Audience-focused,direct,direct,,
id,kept,Usage of Personal Pronouns,With personal pronouns / Less frequent pronouns,direct,direct,,
id,kept,Usage of Present Tense and Present-Focused Words,Present-focused / Future-focused,direct,direct,,
id,kept,Usage of Present-Focused Tense and Words,Present-focused / Past-focused,direct,direct,,
id,kept,Usage of Words Indicating Affective Processes,Affective processes / Cognitive processes,direct,direct,,
id,kept,Usage of Words Indicating Affective Process,Affective process / Perceptual process,direct,direct,,
id,kept,Usage of Words Indicating Cognitive Processes,Cognitive process / Perceptual process,direct,direct,,
